"ifa","timestamp","latitude","longitude"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 04:52:48.597","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 01:01:40.008","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 01:02:42.146","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 01:00:48.622","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 01:05:55.011","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 00:58:30.230","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 04:53:14.190","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 01:05:56.476","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 00:58:43.556","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 01:01:40.055","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 01:05:55.054","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 01:04:43.061","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 01:00:48.700","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 01:03:42.238","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-02 04:52:48.659","22.381952","113.972402"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-12 05:00:22.203","22.381974","113.972533"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-12 05:08:45.063","22.381974","113.972533"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-12 04:59:19.584","22.381974","113.972533"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-12 05:01:24.973","22.381974","113.972533"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-12 05:07:47.117","22.381974","113.972533"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-12 05:09:56.013","22.381974","113.972533"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-12 05:06:46.916","22.381974","113.972533"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-12 05:06:46.291","22.381974","113.972533"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-12 05:06:23.660","22.381974","113.972533"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-12 22:28:12.676","22.382036","113.972546"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-12 00:57:25.972","22.37453651","113.96780395"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-12 05:09:55.319","22.381974","113.972533"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 00:16:21.450","22.38204","113.972555"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 00:15:27.102","22.38204","113.972555"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 00:14:06.946","22.38204","113.972555"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 03:51:37.439","22.37454414","113.96553039"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 07:14:04.368","22.392846","113.976704"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 00:16:21.322","22.38204","113.972555"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 00:15:20.633","22.38204","113.972555"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 07:14:05.220","22.392846","113.976704"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 07:14:04.427","22.392846","113.976704"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 07:15:08.048","22.392846","113.976704"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 00:17:26.797","22.38204","113.972555"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 00:12:03.420","22.38204","113.972555"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 00:15:10.492","22.38204","113.972555"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-18 00:15:26.294","22.38204","113.972555"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-15 23:58:29.412","22.382001","113.972554"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-15 23:56:14.313","22.382001","113.972554"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-11 01:38:44.101","22.382005","113.972529"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-11 01:39:46.163","22.382005","113.972529"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-11 14:49:32.351","22.37453651","113.96780395"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 13:42:03.464","22.381979","113.972527"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:32:05.155","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:20:18.683","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:27:38.228","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:18:40.901","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:28:55.722","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:26:24.624","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:29:59.282","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:22:04.477","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:24:37.535","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:14:45.809","22.382008","113.972557"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:09:39.157","22.38202","113.972524"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:01:44.638","22.38202","113.972524"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:08:41.828","22.38202","113.972524"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:14:46.566","22.382008","113.972557"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:15:32.867","22.382008","113.972557"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:16:40.126","22.382008","113.972557"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:09:39.157","22.38202","113.972524"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:14:46.557","22.382008","113.972557"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:01:45.155","22.38202","113.972524"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:15:47.418","22.382008","113.972557"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:26:22.841","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:28:25.316","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:21:11.498","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:24:36.674","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:20:19.285","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:21:12.382","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:23:20.084","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:16:40.178","22.382008","113.972557"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:12:56.845","22.382008","113.972557"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:11:54.801","22.382008","113.972557"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:19:42.771","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:20:19.458","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:28:55.644","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:23:53.431","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:27:23.891","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 09:27:38.372","22.382","113.972545"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:17:33.112","22.382008","113.972557"
"adbf8587-4415-4d41-8bd3-5b8d69552917","2021-08-09 11:09:39.164","22.38202","113.972524"
