"hk_district","_col1"
"Sai Kung","241741"
"Southern","112898"
"Tsuen Wan","231549"
"Islands","93717"
"Kwai Tsing","306388"
"North","147189"
"Eastern","273069"
"Yau Tsim Mong","436202"
"Kowloon City","562011"
"Kwun Tong","527470"
"Central and Western","675946"
"Sham Shui Po","213149"
"Sha Tin","450272"
"Tuen Mun","218905"
"Wan Chai","255484"
"Wong Tai Sin","217876"
"Yuen Long","313576"
"Tai Po","161731"
