"num_obs","_col1"
"291326","1"
"89448","3"
"111937","2"
"47912","3"
"32040","7"
"45054","3"
"32577","5"
"17175","22"
"49759","3"
"44455","4"
"28426","5"
"50755","3"
"62256","1"
"157630","1"
"166336","1"
"35185","8"
"142939","1"
"55225","2"
"22108","13"
"142370","1"
"58021","2"
"47410","5"
"121388","1"
"43371","2"
"27456","11"
"254897","1"
"53216","2"
"74384","1"
"76658","1"
"103729","2"
"44039","4"
"47052","3"
"47255","3"
"93709","2"
"64103","3"
"82292","3"
"87055","1"
"64752","2"
"70267","2"
"95237","2"
"110316","1"
"24557","6"
"143976","1"
"48837","4"
"87825","2"
"88243","2"
"55857","1"
"37670","3"
"110917","1"
"23175","13"
"57247","2"
"96071","2"
"65989","3"
"175194","1"
"56503","1"
"205908","1"
"26423","4"
"16847","19"
"55126","2"
"43248","3"
"119256","1"
"54872","3"
"49807","3"
"67610","2"
"200601","1"
"145269","1"
"95718","2"
"99205","2"
"118670","1"
"53557","2"
"41431","3"
"85139","1"
"34327","3"
"33090","8"
"42655","3"
"98787","1"
"21358","12"
"128699","1"
"50714","1"
"93599","1"
"85857","3"
"189984","1"
"62088","3"
"23962","13"
"667885","1"
"42153","5"
"41657","2"
"56208","2"
"44690","3"
"49729","4"
"37435","3"
"39211","4"
"35825","7"
"42735","4"
"47593","2"
"59838","5"
"349424","1"
"20145","8"
"126287","1"
"164471","2"
"36370","9"
"72957","1"
"35571","4"
"29870","4"
"48539","5"
"102604","2"
"110706","1"
"81206","1"
"47022","4"
"32803","3"
"53544","5"
"125069","1"
"58769","1"
"181880","1"
"47509","6"
"127470","1"
"40806","2"
"21787","16"
"60883","2"
"47843","4"
"31055","6"
"68655","1"
"114021","1"
"57822","2"
"52917","6"
"264391","1"
"26936","13"
"45677","3"
"73490","3"
"102703","3"
"83322","2"
"40640","3"
"42321","4"
"30788","11"
"132626","1"
"33189","4"
"111986","2"
"24841","8"
"59954","2"
"40026","3"
"61857","1"
"71537","2"
"55954","2"
"25682","8"
"242115","1"
"111639","1"
"34672","4"
"132035","2"
"133919","1"
"208908","1"
"54598","1"
"115047","1"
"60633","1"
"58219","4"
"49964","1"
"25589","5"
"116948","1"
"62752","1"
"56566","4"
"108404","1"
"36504","8"
"38655","7"
"86387","1"
"24117","8"
"45649","3"
"267348","1"
"48703","5"
"91741","1"
"77091","4"
"227032","1"
"60926","2"
"129229","1"
"113842","1"
"84924","2"
"278733","1"
"96373","2"
"47720","2"
"78727","1"
"33896","12"
"54404","3"
"34374","6"
"60549","2"
"45938","1"
"66366","1"
"51604","4"
"43278","2"
"293986","1"
"39849","5"
"37237","4"
"123140","1"
"51546","2"
"60827","1"
"198474","1"
"69720","2"
"65297","1"
"63381","2"
"27059","8"
"114439","1"
"408002","1"
"76699","2"
"73203","1"
"229632","1"
"174614","1"
"61655","2"
"87135","1"
"87370","1"
"1121709","1"
"60728","3"
"45634","3"
"47203","4"
"67888","1"
"77473","1"
"46388","4"
"368826","1"
"68203","1"
"136452","1"
"365199","1"
"83835","2"
"76956","2"
"482801","1"
"44261","4"
"95185","2"
"657231","1"
"71041","2"
"86133","3"
"155964","1"
"59801","2"
"34939","3"
"181602","1"
"76904","1"
"181365","1"
"67968","1"
"54885","2"
"131904","1"
"95138","1"
"117586","1"
"82706","1"
"66780","1"
"74067","1"
"40138","1"
"371333","1"
"41994","3"
"27055","12"
"1444339","1"
"406713","1"
"80736","2"
"74774","3"
"66299","2"
"194631","1"
"39545","3"
"125953","1"
"70004","2"
"41802","5"
"136176","1"
"33318","5"
"60833","3"
"29626","6"
"273864","1"
"29667","5"
"47367","4"
"87754","2"
"120931","1"
"69705","1"
"60303","3"
"87036","2"
"77322","1"
"102341","1"
"756231","1"
"75716","1"
"239682","1"
"121371","1"
"99563","2"
"116403","1"
"335295","1"
"191501","1"
"53350","5"
"42539","3"
"160404","1"
"46436","2"
"59818","3"
"129684","1"
"43080","3"
"54570","5"
"53158","2"
"55219","2"
"50455","1"
"71203","2"
"53462","1"
"39006","1"
"65392","1"
"383614","1"
"74507","3"
"213714","1"
"67166","2"
"59937","3"
"199731","1"
"40321","2"
"126330","1"
"200694","1"
"166252","1"
"155682","1"
"82846","1"
"70565","2"
"58618","2"
"300528","1"
"49720","3"
"84232","1"
"47602","3"
"89782","1"
"52022","2"
"80878","1"
"78822","3"
"76809","2"
"83087","1"
"106598","2"
"78710","1"
"297980","1"
"44819","2"
"852230","1"
"202511","1"
"201862","1"
"188260","1"
"55279","1"
"83732","1"
"379877","1"
"73358","1"
"386567","1"
"99018","1"
"222403","1"
"705944","1"
"125455","1"
"110749","1"
"287492","1"
"91405","2"
"352262","1"
"86887","2"
"65502","3"
"73522","1"
"41892","2"
"95634","1"
"201401","2"
"134889","1"
"48352","3"
"78029","2"
"160997","1"
"101518","1"
"85437","1"
"54253","3"
"74548","1"
"43634","2"
"129371","1"
"59491","1"
"61019","2"
"49477","4"
"184822","2"
"139803","1"
"71673","1"
"418309","1"
"48938","5"
"39741","1"
"68099","1"
"227692","1"
"99494","1"
"166435","2"
"162163","1"
"108221","1"
"139452","1"
"74003","2"
"71871","2"
"241486","1"
"46371","1"
"66071","1"
"53958","2"
"98138","1"
"158583","1"
"69459","1"
"53152","1"
"46190","1"
"74725","2"
"155447","1"
"74873","1"
"58471","1"
"45442","3"
"87950","1"
"168252","1"
"397374","1"
"57575","2"
"66187","2"
"47063","2"
"158279","1"
"52141","2"
"71386","1"
"87568","1"
"61372","1"
"208703","1"
"40405","2"
"89670","2"
"48886","1"
"114236","1"
"84458","2"
"84316","1"
"292115","1"
"129880","1"
"197349","1"
"42207","2"
"69470","2"
"1026199","1"
"115282","1"
"55755","2"
"166980","1"
"76507","1"
"37368","2"
"250480","1"
"110965","1"
"68636","1"
"123750","1"
"64864","1"
"37295","1"
"69873","1"
"98468","1"
"118334","1"
"216038","1"
"40472","1"
"70707","1"
"281164","1"
"90573","1"
"58952","1"
"79171","1"
"124067","1"
"81335","2"
"100671","2"
"116004","3"
"138907","1"
"351881","1"
"57523","2"
"196657","1"
"60784","2"
"105111","1"
"42996","1"
"63189","2"
"762641","1"
"67371","1"
"105604","1"
"73255","2"
"675511","1"
"199401","1"
"96468","1"
"500203","1"
"71339","1"
"140439","1"
"112583","1"
"522804","1"
"148604","1"
"85219","1"
"182466","1"
"52770","1"
"400594","1"
"88342","2"
"97289","1"
"91237","1"
"822329","1"
"114088","1"
"125121","1"
"40528","1"
"84762","1"
"156218","1"
"59993","1"
"487668","1"
"86344","1"
"440207","1"
"58387","1"
"353062","1"
"62056","3"
"819100","1"
"196726","1"
"196323","1"
"141982","1"
"102520","1"
"40767","2"
"80544","1"
"181817","1"
"88306","1"
"174733","1"
"104753","1"
"68334","2"
"189771","1"
"76266","1"
"197950","1"
"92707","1"
"80391","1"
"25751","2"
"160885","1"
"274614","1"
"93901","1"
"781858","1"
"61754","1"
"152970","1"
"85023","1"
"147584","1"
"104682","2"
"193176","1"
"228483","1"
"128748","1"
"89433","1"
"366130","1"
"190674","1"
"78531","1"
"305899","1"
"46623","1"
"117392","1"
"38672","1"
"56053","1"
"103486","1"
"133751","1"
"232136","1"
"142808","1"
"190165","1"
"119606","1"
"75634","2"
"108288","1"
"257166","1"
"198653","1"
"59258","1"
"32872","1"
"59010","2"
"94886","1"
"110984","1"
"364942","1"
"88049","1"
"47069","1"
"66931","1"
"90258","1"
"168284","1"
"123884","1"
"162253","1"
"89584","1"
"174942","1"
"67319","1"
"69836","1"
"89202","3"
"63920","1"
"89038","1"
"253862","1"
"161430","2"
"97050","1"
"74690","1"
"97666","1"
"164385","1"
"96938","1"
"182016","1"
"126134","1"
"71987","1"
"60769","2"
"129919","1"
"119612","1"
"114883","1"
"97929","1"
"111497","1"
"116795","1"
"141269","1"
"137187","1"
"78221","1"
"99216","1"
"70746","1"
"81318","2"
"129287","1"
"599315","1"
"83251","1"
"79350","1"
"147599","1"
"67670","1"
"154688","1"
"429482","1"
"85484","1"
"115523","1"
"77139","1"
"82165","1"
"124136","1"
"179524","1"
"236","8854"
"1","3154504"
"27007","10"
"551","3138"
"891","1670"
"4299","149"
"61487","3"
"1460","863"
"9769","50"
"1348","924"
"10762","42"
"792","1939"
"275","7375"
"1758","650"
"2374","414"
"1695","663"
"6926","78"
"4284","147"
"2807","334"
"65901","4"
"9424","50"
"1163","1130"
"19119","15"
"1745","628"
"4538","166"
"9288","60"
"10659","41"
"606","2668"
"31301","13"
"4872","152"
"1954","534"
"2003","534"
"809","1832"
"904","1577"
"60954","2"
"12649","29"
"1186","1123"
"10338","56"
"3165","268"
"98421","3"
"2029","490"
"2089","479"
"26018","5"
"3523","220"
"72604","3"
"3956","195"
"4676","136"
"5441","143"
"7840","67"
"77326","2"
"3710","228"
"2339","416"
"3762","219"
"23076","13"
"12974","31"
"18623","15"
"3846","192"
"5010","133"
"6258","110"
"37140","10"
"2426","376"
"25537","8"
"21272","16"
"29803","14"
"59663","1"
"16054","22"
"43343","7"
"4516","175"
"1225","1108"
"11105","32"
"29270","11"
"6775","77"
"20651","13"
"5292","124"
"7741","71"
"5452","143"
"12476","54"
"2859","317"
"5238","105"
"1607","701"
"53432","3"
"22492","19"
"8560","51"
"8116","72"
"27305","9"
"79732","2"
"38297","5"
"22263","15"
"8842","46"
"8017","62"
"19910","12"
"6797","88"
"3559","212"
"12823","36"
"23434","16"
"13144","26"
"2820","331"
"13418","33"
"7626","91"
"27973","14"
"24363","9"
"14666","22"
"9513","60"
"18078","26"
"63340","2"
"21123","13"
"197131","2"
"38198","9"
"38310","3"
"66668","3"
"23656","10"
"35838","8"
"35452","7"
"24805","15"
"23686","15"
"26736","9"
"19541","16"
"30085","8"
"18095","13"
"30469","10"
"53139","5"
"10040","41"
"6008","103"
"9618","51"
"28602","8"
"25350","9"
"5872","130"
"9948","63"
"8971","55"
"9435","50"
"3885","207"
"70774","3"
"28740","9"
"83719","3"
"11403","39"
"16289","19"
"15263","21"
"24050","14"
"20121","15"
"14754","34"
"18571","20"
"21716","15"
"21270","16"
"37558","6"
"127621","1"
"19576","13"
"214182","2"
"19526","19"
"25242","12"
"9049","55"
"38903","3"
"71737","2"
"7853","69"
"17856","24"
"13530","33"
"35920","5"
"64715","2"
"16138","22"
"34984","4"
"41853","4"
"7409","78"
"9090","60"
"13246","29"
"16776","17"
"10957","50"
"25996","12"
"14595","30"
"16658","19"
"188449","1"
"31103","7"
"13502","24"
"12700","44"
"41433","7"
"13752","27"
"14278","38"
"99339","2"
"7991","53"
"287962","1"
"116347","1"
"63241","3"
"33773","5"
"84538","1"
"28999","13"
"34637","4"
"17326","15"
"99153","1"
"45748","2"
"12185","38"
"35702","9"
"43888","2"
"10437","44"
"11340","39"
"53990","3"
"58133","8"
"409694","2"
"28738","8"
"9933","43"
"302282","2"
"17276","23"
"84021","2"
"23891","12"
"77697","2"
"41390","6"
"22953","11"
"191911","1"
"91683","1"
"8088","68"
"13554","22"
"25115","17"
"13108","36"
"11006","38"
"8954","62"
"15621","23"
"37571","6"
"25277","12"
"12405","35"
"47244","5"
"120735","4"
"81680","3"
"22005","10"
"34911","10"
"12687","40"
"28876","13"
"31818","9"
"15793","22"
"15817","19"
"15457","20"
"78339","1"
"174056","1"
"79688","1"
"25003","14"
"15593","21"
"76337","1"
"111719","2"
"32486","10"
"38720","10"
"102492","3"
"29357","8"
"6827","79"
"30025","6"
"27083","7"
"31174","10"
"26984","10"
"40787","4"
"25425","6"
"73653","2"
"8620","59"
"47906","4"
"91571","1"
"29059","5"
"79947","2"
"32053","7"
"21207","15"
"16274","18"
"37754","3"
"33439","8"
"69983","3"
"18173","18"
"24992","12"
"30297","9"
"54152","3"
"72257","2"
"48475","2"
"16382","25"
"15112","20"
"23350","18"
"13541","32"
"144534","1"
"19953","15"
"52356","3"
"153033","1"
"17537","17"
"95121","3"
"147222","1"
"54423","2"
"17660","21"
"30521","10"
"327148","1"
"92823","1"
"34306","4"
"44739","3"
